Model;Accuracy;AUC;Recall;Prec.;F1;Kappa;MCC;TT (Sec)
Dummy Classifier;0.8291;0.5;0.0;0.0;0.0;0.0;0.0;0.016
Random Forest Classifier;0.7436;0.4934;0.05;0.0333;0.04;-0.0699;-0.0725;0.048
Quadratic Discriminant Analysis;0.74;0.6729;0.1;0.2;0.1333;0.0423;0.0357;0.017
Extra Trees Classifier;0.7255;0.5323;0.0;0.0;0.0;-0.118;-0.1228;0.045
Gradient Boosting Classifier;0.7227;0.4708;0.15;0.2333;0.1733;0.0371;0.0394;0.033
Light Gradient Boosting Machine;0.7127;0.5076;0.1;0.15;0.1167;-0.0313;-0.0298;0.041
Ada Boost Classifier;0.6964;0.5035;0.25;0.1667;0.1967;0.0259;0.0278;0.028
Naive Bayes;0.6673;0.6167;0.3;0.1167;0.1667;-0.0162;0.0028;0.018
Logistic Regression;0.6573;0.659;0.5;0.2217;0.2943;0.1043;0.1331;0.024
Decision Tree Classifier;0.6464;0.4472;0.15;0.1167;0.13;-0.0668;-0.0785;0.018
Ridge Classifier;0.64;0.6597;0.45;0.1717;0.2443;0.0468;0.0736;0.019
Linear Discriminant Analysis;0.64;0.6597;0.45;0.1717;0.2443;0.0468;0.0736;0.018
SVM - Linear Kernel;0.58;0.5799;0.5;0.17;0.2488;0.0251;0.0609;0.018
K Neighbors Classifier;0.5609;0.4948;0.45;0.1886;0.2535;0.0189;0.0302;0.025
